codigo,tipo_punto_acceso,capex_extra,opex_extra_anual
429,armario_calle,5000.0,0.0
430,armario_calle,5000.0,0.0
431,armario_calle,5000.0,0.0
432,armario_calle,5000.0,0.0
433,armario_calle,5000.0,0.0
434,armario_calle,5000.0,0.0
435,armario_calle,5000.0,0.0
436,armario_calle,5000.0,0.0
437,armario_calle,5000.0,0.0
438,armario_calle,5000.0,0.0
439,armario_calle,5000.0,0.0
440,armario_calle,5000.0,0.0
441,armario_calle,5000.0,0.0
442,armario_calle,5000.0,0.0
443,armario_calle,5000.0,0.0
444,armario_calle,5000.0,0.0
445,armario_calle,5000.0,0.0
446,armario_calle,5000.0,0.0
447,armario_calle,5000.0,0.0
448,armario_calle,5000.0,0.0
449,armario_calle,5000.0,0.0
450,armario_calle,5000.0,0.0
451,armario_calle,5000.0,0.0
452,armario_calle,5000.0,0.0
453,armario_calle,5000.0,0.0
454,armario_calle,5000.0,0.0
455,armario_calle,5000.0,0.0
456,armario_calle,5000.0,0.0
457,armario_calle,5000.0,0.0
458,armario_calle,5000.0,0.0
459,armario_calle,5000.0,0.0
460,armario_calle,5000.0,0.0
461,armario_calle,5000.0,0.0
462,armario_calle,5000.0,0.0
463,armario_calle,5000.0,0.0
464,armario_calle,5000.0,0.0
465,armario_calle,5000.0,0.0
466,armario_calle,5000.0,0.0
467,armario_calle,5000.0,0.0
468,armario_calle,5000.0,0.0
469,armario_calle,5000.0,0.0
470,armario_calle,5000.0,0.0
471,armario_calle,5000.0,0.0
472,armario_calle,5000.0,0.0
473,armario_calle,5000.0,0.0
474,armario_calle,5000.0,0.0
475,armario_calle,5000.0,0.0
476,armario_calle,5000.0,0.0
477,armario_calle,5000.0,0.0
478,armario_calle,5000.0,0.0
479,armario_calle,5000.0,0.0
480,armario_calle,5000.0,0.0
481,armario_calle,5000.0,0.0
482,armario_calle,5000.0,0.0
483,armario_calle,5000.0,0.0
484,armario_calle,5000.0,0.0
485,armario_calle,5000.0,0.0
486,armario_calle,5000.0,0.0
487,armario_calle,5000.0,0.0
488,armario_calle,5000.0,0.0
489,armario_calle,5000.0,0.0
490,armario_calle,5000.0,0.0
491,armario_calle,5000.0,0.0
492,armario_calle,5000.0,0.0
493,armario_calle,5000.0,0.0
494,armario_calle,5000.0,0.0
495,armario_calle,5000.0,0.0
496,armario_calle,5000.0,0.0
497,armario_calle,5000.0,0.0
498,armario_calle,5000.0,0.0
499,armario_calle,5000.0,0.0
500,armario_calle,5000.0,0.0
501,armario_calle,5000.0,0.0
502,armario_calle,5000.0,0.0
503,armario_calle,5000.0,0.0
504,armario_calle,5000.0,0.0
505,armario_calle,5000.0,0.0
506,armario_calle,5000.0,0.0
507,armario_calle,5000.0,0.0
508,armario_calle,5000.0,0.0
509,armario_calle,5000.0,0.0
510,armario_calle,5000.0,0.0
511,armario_calle,5000.0,0.0
512,armario_calle,5000.0,0.0
513,armario_calle,5000.0,0.0
514,armario_calle,5000.0,0.0
515,armario_calle,5000.0,0.0
516,armario_calle,5000.0,0.0
517,armario_calle,5000.0,0.0
518,armario_calle,5000.0,0.0
519,armario_calle,5000.0,0.0
520,armario_calle,5000.0,0.0
521,armario_calle,5000.0,0.0
522,armario_calle,5000.0,0.0
523,armario_calle,5000.0,0.0
524,armario_calle,5000.0,0.0
525,armario_calle,5000.0,0.0
526,armario_calle,5000.0,0.0
527,armario_calle,5000.0,0.0
528,armario_calle,5000.0,0.0
529,armario_calle,5000.0,0.0
530,armario_calle,5000.0,0.0
531,armario_calle,5000.0,0.0
532,armario_calle,5000.0,0.0
533,armario_calle,5000.0,0.0
534,armario_calle,5000.0,0.0
535,armario_calle,5000.0,0.0
536,armario_calle,5000.0,0.0
537,armario_calle,5000.0,0.0
538,armario_calle,5000.0,0.0
539,armario_calle,5000.0,0.0
540,armario_calle,5000.0,0.0
541,armario_calle,5000.0,0.0
542,armario_calle,5000.0,0.0
543,armario_calle,5000.0,0.0
544,armario_calle,5000.0,0.0
545,armario_calle,5000.0,0.0
546,armario_calle,5000.0,0.0
547,armario_calle,5000.0,0.0
548,armario_calle,5000.0,0.0
549,armario_calle,5000.0,0.0
550,armario_calle,5000.0,0.0
551,armario_calle,5000.0,0.0
552,armario_calle,5000.0,0.0
553,armario_calle,5000.0,0.0
554,armario_calle,5000.0,0.0
555,armario_calle,5000.0,0.0
556,armario_calle,5000.0,0.0
557,armario_calle,5000.0,0.0
558,armario_calle,5000.0,0.0
559,armario_calle,5000.0,0.0
560,armario_calle,5000.0,0.0
561,armario_calle,5000.0,0.0
562,armario_calle,5000.0,0.0
563,armario_calle,5000.0,0.0
564,armario_calle,5000.0,0.0
565,armario_calle,5000.0,0.0
566,armario_calle,5000.0,0.0
567,armario_calle,5000.0,0.0
568,armario_calle,5000.0,0.0
569,armario_calle,5000.0,0.0
570,armario_calle,5000.0,0.0
571,armario_calle,5000.0,0.0
572,armario_calle,5000.0,0.0
573,armario_calle,5000.0,0.0
574,armario_calle,5000.0,0.0
575,armario_calle,5000.0,0.0
576,armario_calle,5000.0,0.0
577,armario_calle,5000.0,0.0
578,armario_calle,5000.0,0.0
579,armario_calle,5000.0,0.0
580,armario_calle,5000.0,0.0
581,armario_calle,5000.0,0.0
582,armario_calle,5000.0,0.0
583,armario_calle,5000.0,0.0
584,armario_calle,5000.0,0.0
585,armario_calle,5000.0,0.0
586,armario_calle,5000.0,0.0
587,armario_calle,5000.0,0.0
588,armario_calle,5000.0,0.0
589,armario_calle,5000.0,0.0
590,armario_calle,5000.0,0.0
591,armario_calle,5000.0,0.0
592,armario_calle,5000.0,0.0
593,armario_calle,5000.0,0.0
594,armario_calle,5000.0,0.0
595,armario_calle,5000.0,0.0
596,armario_calle,5000.0,0.0
597,armario_calle,5000.0,0.0
598,armario_calle,5000.0,0.0
599,armario_calle,5000.0,0.0
600,armario_calle,5000.0,0.0
601,armario_calle,5000.0,0.0
602,armario_calle,5000.0,0.0
603,armario_calle,5000.0,0.0
604,armario_calle,5000.0,0.0
605,armario_calle,5000.0,0.0
606,armario_calle,5000.0,0.0
607,armario_calle,5000.0,0.0
608,armario_calle,5000.0,0.0
609,armario_calle,5000.0,0.0
610,armario_calle,5000.0,0.0
611,armario_calle,5000.0,0.0
612,armario_calle,5000.0,0.0
613,armario_calle,5000.0,0.0
614,armario_calle,5000.0,0.0
615,armario_calle,5000.0,0.0
616,armario_calle,5000.0,0.0
617,armario_calle,5000.0,0.0
618,armario_calle,5000.0,0.0
619,armario_calle,5000.0,0.0
620,armario_calle,5000.0,0.0
621,armario_calle,5000.0,0.0
622,armario_calle,5000.0,0.0
623,armario_calle,5000.0,0.0
624,armario_calle,5000.0,0.0
625,armario_calle,5000.0,0.0
626,armario_calle,5000.0,0.0
627,armario_calle,5000.0,0.0
628,armario_calle,5000.0,0.0
629,armario_calle,5000.0,0.0
630,armario_calle,5000.0,0.0
631,armario_calle,5000.0,0.0
632,armario_calle,5000.0,0.0
633,armario_calle,5000.0,0.0
634,armario_calle,5000.0,0.0
635,armario_calle,5000.0,0.0
636,armario_calle,5000.0,0.0
637,armario_calle,5000.0,0.0
638,armario_calle,5000.0,0.0
