codigo,municipio,hogares_teoricos,cuota_operadores,penetracion_fibra,clientes_mayorista,bw_mayorista_mbps
79,A79,20.0,0.3,0.55,3.3000000000000003,22.0
80,A80,20.0,0.3,0.55,3.3000000000000003,22.0
81,A81,20.0,0.3,0.55,3.3000000000000003,22.0
82,A82,20.0,0.3,0.55,3.3000000000000003,22.0
83,A83,20.0,0.3,0.55,3.3000000000000003,22.0
84,A84,20.0,0.3,0.55,3.3000000000000003,22.0
85,A85,20.0,0.3,0.55,3.3000000000000003,22.0
86,A86,20.0,0.3,0.55,3.3000000000000003,22.0
87,A87,20.0,0.3,0.55,3.3000000000000003,22.0
88,A88,20.0,0.3,0.55,3.3000000000000003,22.0
89,A89,20.0,0.3,0.55,3.3000000000000003,22.0
90,A90,20.0,0.3,0.55,3.3000000000000003,22.0
91,A91,20.0,0.3,0.55,3.3000000000000003,22.0
92,A92,20.0,0.3,0.55,3.3000000000000003,22.0
93,A93,20.0,0.3,0.55,3.3000000000000003,22.0
94,A94,20.0,0.3,0.55,3.3000000000000003,22.0
95,A95,20.0,0.3,0.55,3.3000000000000003,22.0
96,A96,20.0,0.3,0.55,3.3000000000000003,22.0
97,A97,20.0,0.3,0.55,3.3000000000000003,22.0
98,A98,20.0,0.3,0.55,3.3000000000000003,22.0
99,A99,20.0,0.3,0.55,3.3000000000000003,22.0
100,A100,20.0,0.3,0.55,3.3000000000000003,22.0
101,A101,40.0,0.3,0.55,6.6000000000000005,44.0
102,A102,40.0,0.3,0.55,6.6000000000000005,44.0
103,A103,40.0,0.3,0.55,6.6000000000000005,44.0
104,A104,40.0,0.3,0.55,6.6000000000000005,44.0
105,A105,40.0,0.3,0.55,6.6000000000000005,44.0
106,A106,40.0,0.3,0.55,6.6000000000000005,44.0
107,A107,40.0,0.3,0.55,6.6000000000000005,44.0
108,A108,40.0,0.3,0.55,6.6000000000000005,44.0
109,A109,40.0,0.3,0.55,6.6000000000000005,44.0
110,A110,40.0,0.3,0.55,6.6000000000000005,44.0
111,A111,40.0,0.3,0.55,6.6000000000000005,44.0
112,A112,40.0,0.3,0.55,6.6000000000000005,44.0
113,A113,40.0,0.3,0.55,6.6000000000000005,44.0
114,A114,40.0,0.3,0.55,6.6000000000000005,44.0
115,A115,40.0,0.3,0.55,6.6000000000000005,44.0
116,A116,40.0,0.3,0.55,6.6000000000000005,44.0
117,A117,40.0,0.3,0.55,6.6000000000000005,44.0
118,A118,40.0,0.3,0.55,6.6000000000000005,44.0
119,A119,40.0,0.3,0.55,6.6000000000000005,44.0
120,A120,40.0,0.3,0.55,6.6000000000000005,44.0
121,A121,40.0,0.3,0.55,6.6000000000000005,44.0
122,A122,40.0,0.3,0.55,6.6000000000000005,44.0
123,A123,40.0,0.3,0.55,6.6000000000000005,44.0
124,A124,40.0,0.3,0.55,6.6000000000000005,44.0
125,A125,40.0,0.3,0.55,6.6000000000000005,44.0
126,A126,40.0,0.3,0.55,6.6000000000000005,44.0
127,A127,40.0,0.3,0.55,6.6000000000000005,44.0
128,A128,40.0,0.3,0.55,6.6000000000000005,44.0
129,A129,40.0,0.3,0.55,6.6000000000000005,44.0
130,A130,40.0,0.3,0.55,6.6000000000000005,44.0
131,A131,40.0,0.3,0.55,6.6000000000000005,44.0
132,A132,40.0,0.3,0.55,6.6000000000000005,44.0
133,A133,40.0,0.3,0.55,6.6000000000000005,44.0
134,A134,40.0,0.3,0.55,6.6000000000000005,44.0
135,A135,40.0,0.3,0.55,6.6000000000000005,44.0
136,A136,40.0,0.3,0.55,6.6000000000000005,44.0
137,A137,40.0,0.3,0.55,6.6000000000000005,44.0
138,A138,40.0,0.3,0.55,6.6000000000000005,44.0
139,A139,40.0,0.3,0.55,6.6000000000000005,44.0
140,A140,40.0,0.3,0.55,6.6000000000000005,44.0
141,A141,40.0,0.3,0.55,6.6000000000000005,44.0
142,A142,40.0,0.3,0.55,6.6000000000000005,44.0
143,A143,40.0,0.3,0.55,6.6000000000000005,44.0
144,A144,40.0,0.3,0.55,6.6000000000000005,44.0
145,A145,40.0,0.3,0.55,6.6000000000000005,44.0
146,A146,40.0,0.3,0.55,6.6000000000000005,44.0
147,A147,40.0,0.3,0.55,6.6000000000000005,44.0
148,A148,40.0,0.3,0.55,6.6000000000000005,44.0
149,A149,40.0,0.3,0.55,6.6000000000000005,44.0
150,A150,40.0,0.3,0.55,6.6000000000000005,44.0
151,A151,40.0,0.3,0.55,6.6000000000000005,44.0
152,A152,40.0,0.3,0.55,6.6000000000000005,44.0
153,A153,40.0,0.3,0.55,6.6000000000000005,44.0
154,A154,40.0,0.3,0.55,6.6000000000000005,44.0
155,A155,40.0,0.3,0.55,6.6000000000000005,44.0
156,A156,40.0,0.3,0.55,6.6000000000000005,44.0
157,A157,40.0,0.3,0.55,6.6000000000000005,44.0
158,A158,40.0,0.3,0.55,6.6000000000000005,44.0
159,A159,40.0,0.3,0.55,6.6000000000000005,44.0
160,A160,40.0,0.3,0.55,6.6000000000000005,44.0
161,A161,40.0,0.3,0.55,6.6000000000000005,44.0
162,A162,40.0,0.3,0.55,6.6000000000000005,44.0
163,A163,40.0,0.3,0.55,6.6000000000000005,44.0
164,A164,40.0,0.3,0.55,6.6000000000000005,44.0
165,A165,40.0,0.3,0.55,6.6000000000000005,44.0
166,A166,40.0,0.3,0.55,6.6000000000000005,44.0
167,A167,40.0,0.3,0.55,6.6000000000000005,44.0
168,A168,40.0,0.3,0.55,6.6000000000000005,44.0
169,A169,40.0,0.3,0.55,6.6000000000000005,44.0
170,A170,40.0,0.3,0.55,6.6000000000000005,44.0
171,A171,40.0,0.3,0.55,6.6000000000000005,44.0
172,A172,40.0,0.3,0.55,6.6000000000000005,44.0
173,A173,40.0,0.3,0.55,6.6000000000000005,44.0
174,A174,40.0,0.3,0.55,6.6000000000000005,44.0
175,A175,40.0,0.3,0.55,6.6000000000000005,44.0
176,A176,40.0,0.3,0.55,6.6000000000000005,44.0
177,A177,40.0,0.3,0.55,6.6000000000000005,44.0
178,A178,40.0,0.3,0.55,6.6000000000000005,44.0
179,A179,40.0,0.3,0.55,6.6000000000000005,44.0
180,A180,40.0,0.3,0.55,6.6000000000000005,44.0
181,A181,40.0,0.3,0.55,6.6000000000000005,44.0
182,A182,40.0,0.3,0.55,6.6000000000000005,44.0
183,A183,40.0,0.3,0.55,6.6000000000000005,44.0
184,A184,40.0,0.3,0.55,6.6000000000000005,44.0
185,A185,40.0,0.3,0.55,6.6000000000000005,44.0
186,A186,40.0,0.3,0.55,6.6000000000000005,44.0
187,A187,40.0,0.3,0.55,6.6000000000000005,44.0
188,A188,40.0,0.3,0.55,6.6000000000000005,44.0
189,A189,40.0,0.3,0.55,6.6000000000000005,44.0
190,A190,40.0,0.3,0.55,6.6000000000000005,44.0
191,A191,40.0,0.3,0.55,6.6000000000000005,44.0
192,A192,40.0,0.3,0.55,6.6000000000000005,44.0
193,A193,40.0,0.3,0.55,6.6000000000000005,44.0
194,A194,40.0,0.3,0.55,6.6000000000000005,44.0
195,A195,40.0,0.3,0.55,6.6000000000000005,44.0
196,A196,40.0,0.3,0.55,6.6000000000000005,44.0
197,A197,40.0,0.3,0.55,6.6000000000000005,44.0
198,A198,40.0,0.3,0.55,6.6000000000000005,44.0
199,A199,40.0,0.3,0.55,6.6000000000000005,44.0
200,A200,200.0,0.3,0.55,33.0,220.0
201,A201,200.0,0.3,0.55,33.0,220.0
202,A202,200.0,0.3,0.55,33.0,220.0
203,A203,200.0,0.3,0.55,33.0,220.0
204,A204,200.0,0.3,0.55,33.0,220.0
205,A205,200.0,0.3,0.55,33.0,220.0
206,A206,200.0,0.3,0.55,33.0,220.0
207,A207,200.0,0.3,0.55,33.0,220.0
208,A208,200.0,0.3,0.55,33.0,220.0
209,A209,200.0,0.3,0.55,33.0,220.0
210,A210,200.0,0.3,0.55,33.0,220.0
211,A211,200.0,0.3,0.55,33.0,220.0
212,A212,200.0,0.3,0.55,33.0,220.0
213,A213,200.0,0.3,0.55,33.0,220.0
214,A214,200.0,0.3,0.55,33.0,220.0
215,A215,200.0,0.3,0.55,33.0,220.0
216,A216,200.0,0.3,0.55,33.0,220.0
217,A217,200.0,0.3,0.55,33.0,220.0
218,A218,200.0,0.3,0.55,33.0,220.0
219,A219,200.0,0.3,0.55,33.0,220.0
220,A220,200.0,0.3,0.55,33.0,220.0
221,A221,200.0,0.3,0.55,33.0,220.0
222,A222,200.0,0.3,0.55,33.0,220.0
223,A223,200.0,0.3,0.55,33.0,220.0
224,A224,200.0,0.3,0.55,33.0,220.0
225,A225,200.0,0.3,0.55,33.0,220.0
226,A226,200.0,0.3,0.55,33.0,220.0
227,A227,200.0,0.3,0.55,33.0,220.0
228,A228,200.0,0.3,0.55,33.0,220.0
229,A229,200.0,0.3,0.55,33.0,220.0
230,A230,200.0,0.3,0.55,33.0,220.0
231,A231,200.0,0.3,0.55,33.0,220.0
232,A232,200.0,0.3,0.55,33.0,220.0
233,A233,200.0,0.3,0.55,33.0,220.0
234,A234,200.0,0.3,0.55,33.0,220.0
235,A235,200.0,0.3,0.55,33.0,220.0
236,A236,200.0,0.3,0.55,33.0,220.0
237,A237,200.0,0.3,0.55,33.0,220.0
238,A238,200.0,0.3,0.55,33.0,220.0
239,A239,200.0,0.3,0.55,33.0,220.0
240,A240,200.0,0.3,0.55,33.0,220.0
241,A241,200.0,0.3,0.55,33.0,220.0
242,A242,200.0,0.3,0.55,33.0,220.0
243,A243,200.0,0.3,0.55,33.0,220.0
244,A244,200.0,0.3,0.55,33.0,220.0
245,A245,200.0,0.3,0.55,33.0,220.0
246,A246,200.0,0.3,0.55,33.0,220.0
247,A247,200.0,0.3,0.55,33.0,220.0
248,A248,200.0,0.3,0.55,33.0,220.0
249,A249,200.0,0.3,0.55,33.0,220.0
250,A250,200.0,0.3,0.55,33.0,220.0
251,A251,200.0,0.3,0.55,33.0,220.0
252,A252,200.0,0.3,0.55,33.0,220.0
253,A253,200.0,0.3,0.55,33.0,220.0
254,A254,200.0,0.3,0.55,33.0,220.0
255,A255,200.0,0.3,0.55,33.0,220.0
256,A256,200.0,0.3,0.55,33.0,220.0
257,A257,200.0,0.3,0.55,33.0,220.0
258,A258,200.0,0.3,0.55,33.0,220.0
259,A259,200.0,0.3,0.55,33.0,220.0
260,A260,200.0,0.3,0.55,33.0,220.0
261,A261,200.0,0.3,0.55,33.0,220.0
262,A262,200.0,0.3,0.55,33.0,220.0
263,A263,200.0,0.3,0.55,33.0,220.0
264,A264,200.0,0.3,0.55,33.0,220.0
265,A265,200.0,0.3,0.55,33.0,220.0
266,A266,200.0,0.3,0.55,33.0,220.0
267,A267,200.0,0.3,0.55,33.0,220.0
268,A268,200.0,0.3,0.55,33.0,220.0
269,A269,200.0,0.3,0.55,33.0,220.0
270,A270,200.0,0.3,0.55,33.0,220.0
271,A271,200.0,0.3,0.55,33.0,220.0
272,A272,200.0,0.3,0.55,33.0,220.0
273,A273,200.0,0.3,0.55,33.0,220.0
274,A274,200.0,0.3,0.55,33.0,220.0
275,A275,200.0,0.3,0.55,33.0,220.0
276,A276,200.0,0.3,0.55,33.0,220.0
277,A277,200.0,0.3,0.55,33.0,220.0
278,A278,200.0,0.3,0.55,33.0,220.0
279,A279,200.0,0.3,0.55,33.0,220.0
280,A280,200.0,0.3,0.55,33.0,220.0
281,A281,200.0,0.3,0.55,33.0,220.0
282,A282,200.0,0.3,0.55,33.0,220.0
283,A283,200.0,0.3,0.55,33.0,220.0
284,A284,200.0,0.3,0.55,33.0,220.0
285,A285,200.0,0.3,0.55,33.0,220.0
286,A286,200.0,0.3,0.55,33.0,220.0
287,A287,200.0,0.3,0.55,33.0,220.0
288,A288,200.0,0.3,0.55,33.0,220.0
289,A289,200.0,0.3,0.55,33.0,220.0
290,A290,200.0,0.3,0.55,33.0,220.0
291,A291,200.0,0.3,0.55,33.0,220.0
292,A292,200.0,0.3,0.55,33.0,220.0
293,A293,200.0,0.3,0.55,33.0,220.0
294,A294,200.0,0.3,0.55,33.0,220.0
295,A295,200.0,0.3,0.55,33.0,220.0
296,A296,200.0,0.3,0.55,33.0,220.0
297,A297,200.0,0.3,0.55,33.0,220.0
298,A298,200.0,0.3,0.55,33.0,220.0
299,A299,200.0,0.3,0.55,33.0,220.0
300,A300,400.0,0.3,0.55,66.0,440.0
301,A301,400.0,0.3,0.55,66.0,440.0
302,A302,400.0,0.3,0.55,66.0,440.0
303,A303,400.0,0.3,0.55,66.0,440.0
304,A304,400.0,0.3,0.55,66.0,440.0
305,A305,400.0,0.3,0.55,66.0,440.0
306,A306,400.0,0.3,0.55,66.0,440.0
307,A307,400.0,0.3,0.55,66.0,440.0
308,A308,400.0,0.3,0.55,66.0,440.0
309,A309,400.0,0.3,0.55,66.0,440.0
310,A310,400.0,0.3,0.55,66.0,440.0
311,A311,400.0,0.3,0.55,66.0,440.0
312,A312,400.0,0.3,0.55,66.0,440.0
313,A313,400.0,0.3,0.55,66.0,440.0
314,A314,400.0,0.3,0.55,66.0,440.0
315,A315,400.0,0.3,0.55,66.0,440.0
316,A316,400.0,0.3,0.55,66.0,440.0
317,A317,400.0,0.3,0.55,66.0,440.0
318,A318,400.0,0.3,0.55,66.0,440.0
319,A319,400.0,0.3,0.55,66.0,440.0
320,A320,400.0,0.3,0.55,66.0,440.0
321,A321,400.0,0.3,0.55,66.0,440.0
322,A322,400.0,0.3,0.55,66.0,440.0
323,A323,400.0,0.3,0.55,66.0,440.0
324,A324,400.0,0.3,0.55,66.0,440.0
325,A325,400.0,0.3,0.55,66.0,440.0
326,A326,400.0,0.3,0.55,66.0,440.0
327,A327,400.0,0.3,0.55,66.0,440.0
328,A328,400.0,0.3,0.55,66.0,440.0
329,A329,400.0,0.3,0.55,66.0,440.0
330,A330,400.0,0.3,0.55,66.0,440.0
331,A331,400.0,0.3,0.55,66.0,440.0
332,A332,400.0,0.3,0.55,66.0,440.0
333,A333,400.0,0.3,0.55,66.0,440.0
334,A334,400.0,0.3,0.55,66.0,440.0
335,A335,400.0,0.3,0.55,66.0,440.0
336,A336,400.0,0.3,0.55,66.0,440.0
337,A337,400.0,0.3,0.55,66.0,440.0
338,A338,400.0,0.3,0.55,66.0,440.0
339,A339,400.0,0.3,0.55,66.0,440.0
340,A340,400.0,0.3,0.55,66.0,440.0
341,A341,400.0,0.3,0.55,66.0,440.0
342,A342,400.0,0.3,0.55,66.0,440.0
343,A343,400.0,0.3,0.55,66.0,440.0
344,A344,400.0,0.3,0.55,66.0,440.0
345,A345,400.0,0.3,0.55,66.0,440.0
346,A346,400.0,0.3,0.55,66.0,440.0
347,A347,400.0,0.3,0.55,66.0,440.0
348,A348,400.0,0.3,0.55,66.0,440.0
349,A349,400.0,0.3,0.55,66.0,440.0
350,A350,400.0,0.3,0.55,66.0,440.0
351,A351,400.0,0.3,0.55,66.0,440.0
352,A352,400.0,0.3,0.55,66.0,440.0
353,A353,400.0,0.3,0.55,66.0,440.0
354,A354,400.0,0.3,0.55,66.0,440.0
355,A355,400.0,0.3,0.55,66.0,440.0
356,A356,400.0,0.3,0.55,66.0,440.0
357,A357,400.0,0.3,0.55,66.0,440.0
358,A358,400.0,0.3,0.55,66.0,440.0
359,A359,400.0,0.3,0.55,66.0,440.0
360,A360,400.0,0.3,0.55,66.0,440.0
361,A361,400.0,0.3,0.55,66.0,440.0
362,A362,400.0,0.3,0.55,66.0,440.0
363,A363,400.0,0.3,0.55,66.0,440.0
364,A364,400.0,0.3,0.55,66.0,440.0
365,A365,400.0,0.3,0.55,66.0,440.0
366,A366,400.0,0.3,0.55,66.0,440.0
367,A367,400.0,0.3,0.55,66.0,440.0
368,A368,400.0,0.3,0.55,66.0,440.0
369,A369,400.0,0.3,0.55,66.0,440.0
370,A370,400.0,0.3,0.55,66.0,440.0
371,A371,400.0,0.3,0.55,66.0,440.0
372,A372,400.0,0.3,0.55,66.0,440.0
373,A373,400.0,0.3,0.55,66.0,440.0
374,A374,400.0,0.3,0.55,66.0,440.0
375,A375,400.0,0.3,0.55,66.0,440.0
376,A376,400.0,0.3,0.55,66.0,440.0
377,A377,400.0,0.3,0.55,66.0,440.0
378,A378,400.0,0.3,0.55,66.0,440.0
379,A379,400.0,0.3,0.55,66.0,440.0
380,A380,400.0,0.3,0.55,66.0,440.0
381,A381,400.0,0.3,0.55,66.0,440.0
382,A382,400.0,0.3,0.55,66.0,440.0
383,A383,400.0,0.3,0.55,66.0,440.0
384,A384,400.0,0.3,0.55,66.0,440.0
385,A385,400.0,0.3,0.55,66.0,440.0
386,A386,400.0,0.3,0.55,66.0,440.0
387,A387,400.0,0.3,0.55,66.0,440.0
388,A388,400.0,0.3,0.55,66.0,440.0
389,A389,400.0,0.3,0.55,66.0,440.0
390,A390,400.0,0.3,0.55,66.0,440.0
391,A391,400.0,0.3,0.55,66.0,440.0
392,A392,400.0,0.3,0.55,66.0,440.0
393,A393,400.0,0.3,0.55,66.0,440.0
394,A394,400.0,0.3,0.55,66.0,440.0
395,A395,400.0,0.3,0.55,66.0,440.0
396,A396,400.0,0.3,0.55,66.0,440.0
397,A397,400.0,0.3,0.55,66.0,440.0
398,A398,400.0,0.3,0.55,66.0,440.0
399,A399,400.0,0.3,0.55,66.0,440.0
400,A400,400.0,0.3,0.55,66.0,440.0
401,A401,400.0,0.3,0.55,66.0,440.0
402,A402,400.0,0.3,0.55,66.0,440.0
403,A403,400.0,0.3,0.55,66.0,440.0
404,A404,400.0,0.3,0.55,66.0,440.0
405,A405,400.0,0.3,0.55,66.0,440.0
406,A406,400.0,0.3,0.55,66.0,440.0
407,A407,400.0,0.3,0.55,66.0,440.0
408,A408,400.0,0.3,0.55,66.0,440.0
409,A409,400.0,0.3,0.55,66.0,440.0
410,A410,400.0,0.3,0.55,66.0,440.0
411,A411,400.0,0.3,0.55,66.0,440.0
412,A412,400.0,0.3,0.55,66.0,440.0
413,A413,400.0,0.3,0.55,66.0,440.0
414,A414,400.0,0.3,0.55,66.0,440.0
415,A415,400.0,0.3,0.55,66.0,440.0
416,A416,400.0,0.3,0.55,66.0,440.0
417,A417,400.0,0.3,0.55,66.0,440.0
418,A418,400.0,0.3,0.55,66.0,440.0
419,A419,400.0,0.3,0.55,66.0,440.0
420,A420,400.0,0.3,0.55,66.0,440.0
421,A421,400.0,0.3,0.55,66.0,440.0
422,A422,400.0,0.3,0.55,66.0,440.0
423,A423,400.0,0.3,0.55,66.0,440.0
424,A424,400.0,0.3,0.55,66.0,440.0
425,A425,400.0,0.3,0.55,66.0,440.0
426,A426,400.0,0.3,0.55,66.0,440.0
427,A427,400.0,0.3,0.55,66.0,440.0
428,A428,400.0,0.3,0.55,66.0,440.0
429,A429,400.0,0.3,0.55,66.0,440.0
430,A430,400.0,0.3,0.55,66.0,440.0
431,A431,400.0,0.3,0.55,66.0,440.0
432,A432,400.0,0.3,0.55,66.0,440.0
433,A433,400.0,0.3,0.55,66.0,440.0
434,A434,400.0,0.3,0.55,66.0,440.0
435,A435,400.0,0.3,0.55,66.0,440.0
436,A436,400.0,0.3,0.55,66.0,440.0
437,A437,400.0,0.3,0.55,66.0,440.0
438,A438,400.0,0.3,0.55,66.0,440.0
439,A439,400.0,0.3,0.55,66.0,440.0
440,A440,400.0,0.3,0.55,66.0,440.0
441,A441,400.0,0.3,0.55,66.0,440.0
442,A442,400.0,0.3,0.55,66.0,440.0
443,A443,400.0,0.3,0.55,66.0,440.0
444,A444,400.0,0.3,0.55,66.0,440.0
445,A445,400.0,0.3,0.55,66.0,440.0
446,A446,400.0,0.3,0.55,66.0,440.0
447,A447,400.0,0.3,0.55,66.0,440.0
448,A448,400.0,0.3,0.55,66.0,440.0
449,A449,400.0,0.3,0.55,66.0,440.0
450,A450,400.0,0.3,0.55,66.0,440.0
451,A451,400.0,0.3,0.55,66.0,440.0
452,A452,400.0,0.3,0.55,66.0,440.0
453,A453,400.0,0.3,0.55,66.0,440.0
454,A454,400.0,0.3,0.55,66.0,440.0
455,A455,400.0,0.3,0.55,66.0,440.0
456,A456,400.0,0.3,0.55,66.0,440.0
457,A457,400.0,0.3,0.55,66.0,440.0
458,A458,400.0,0.3,0.55,66.0,440.0
459,A459,400.0,0.3,0.55,66.0,440.0
460,A460,400.0,0.3,0.55,66.0,440.0
461,A461,400.0,0.3,0.55,66.0,440.0
462,A462,400.0,0.3,0.55,66.0,440.0
463,A463,400.0,0.3,0.55,66.0,440.0
464,A464,400.0,0.3,0.55,66.0,440.0
465,A465,400.0,0.3,0.55,66.0,440.0
466,A466,400.0,0.3,0.55,66.0,440.0
467,A467,400.0,0.3,0.55,66.0,440.0
468,A468,400.0,0.3,0.55,66.0,440.0
469,A469,400.0,0.3,0.55,66.0,440.0
470,A470,400.0,0.3,0.55,66.0,440.0
471,A471,400.0,0.3,0.55,66.0,440.0
472,A472,400.0,0.3,0.55,66.0,440.0
473,A473,400.0,0.3,0.55,66.0,440.0
474,A474,400.0,0.3,0.55,66.0,440.0
475,A475,400.0,0.3,0.55,66.0,440.0
476,A476,400.0,0.3,0.55,66.0,440.0
477,A477,400.0,0.3,0.55,66.0,440.0
478,A478,400.0,0.3,0.55,66.0,440.0
479,A479,400.0,0.3,0.55,66.0,440.0
480,A480,400.0,0.3,0.55,66.0,440.0
481,A481,400.0,0.3,0.55,66.0,440.0
482,A482,400.0,0.3,0.55,66.0,440.0
483,A483,400.0,0.3,0.55,66.0,440.0
484,A484,400.0,0.3,0.55,66.0,440.0
485,A485,400.0,0.3,0.55,66.0,440.0
486,A486,400.0,0.3,0.55,66.0,440.0
487,A487,400.0,0.3,0.55,66.0,440.0
488,A488,400.0,0.3,0.55,66.0,440.0
489,A489,400.0,0.3,0.55,66.0,440.0
490,A490,400.0,0.3,0.55,66.0,440.0
491,A491,400.0,0.3,0.55,66.0,440.0
492,A492,400.0,0.3,0.55,66.0,440.0
493,A493,400.0,0.3,0.55,66.0,440.0
494,A494,400.0,0.3,0.55,66.0,440.0
495,A495,400.0,0.3,0.55,66.0,440.0
496,A496,400.0,0.3,0.55,66.0,440.0
497,A497,400.0,0.3,0.55,66.0,440.0
498,A498,400.0,0.3,0.55,66.0,440.0
499,A499,400.0,0.3,0.55,66.0,440.0
500,A500,400.0,0.3,0.55,66.0,440.0
501,A501,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
502,A502,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
503,A503,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
504,A504,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
505,A505,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
506,A506,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
507,A507,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
508,A508,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
509,A509,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
510,A510,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
511,A511,1200.0,0.3,0.55,198.00000000000003,1320.0000000000002
